id,objectid,shape,cod_pais,pais,cod_depto,departamento,departamen_1,municipio,municipi_1,codigo,orig_fid,point_x,point_y
1,1,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Acatenango,Acatenango,411,1,-90.956307,14.547826
2,2,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Agua Blanca,Agua Blanca,2204,2,-89.599949,14.458206
3,3,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Aguacatán,Aguacatan,1327,3,-91.213843,15.333277
4,4,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Almolonga,Almolonga,913,4,-91.484486,14.811737
5,5,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Alotenango,Alotenango,314,5,-90.819675,14.459525
6,6,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Amatitlán,Amatitlan,114,6,-90.611901,14.453492
7,7,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Antigua Guatemala,Antigua Guatemala,301,7,-90.725407,14.545494
8,8,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Asunción Mita,Asuncion Mita,2205,8,-89.667383,14.298936
9,9,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Atescatempa,Atescatempa,2207,9,-89.727174,14.175074
10,10,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Ayutla,Ayutla,1217,10,-92.097562,14.766969
11,11,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Barberena,Barberena,602,11,-90.414661,14.305583
12,12,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Barillas,Barillas,1326,12,-91.221094,15.931652
13,13,Point,GT,Guatemala,GT19,Zacapa,Zacapa,Cabañas,Cabanas,1907,13,-89.776647,14.885095
14,14,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Cabricán,Cabrican,906,14,-91.649192,15.103974
15,15,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Cahabón,Cahabon,1612,15,-89.845873,15.611119
16,16,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Cajolá,Cajola,907,16,-91.612966,14.935075
17,17,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,Camotán,Camotan,2005,17,-89.278679,14.841723
18,18,Point,GT,Guatemala,GT14,Quiché,Quiche,Canillá,Canilla,1418,18,-90.8641,15.196217
19,19,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Cantel,Cantel,914,19,-91.439683,14.816648
20,20,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Casillas,Casillas,604,20,-90.170286,14.374304
21,21,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Catarina,Catarina,1216,21,-92.070046,14.846853
22,22,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Chahal,Chahal,1614,22,-89.576287,15.732912
23,23,Point,GT,Guatemala,GT14,Quiché,Quiche,Chajul,Chajul,1405,23,-90.992759,15.589325
24,24,Point,GT,Guatemala,GT11,Retalhuleu,Retalhuleu,Champerico,Champerico,1107,24,-91.884059,14.348886
25,25,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Chiantla,Chiantla,1302,25,-91.407925,15.503126
26,26,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Chicacao,Chicacao,1013,26,-91.306803,14.54734
27,27,Point,GT,Guatemala,GT14,Quiché,Quiche,Chicamán,Chicaman,1419,27,-90.576323,15.294858
